actStTime,actEndTime,actCategory,placeOrRoute,authorities
活動開始時間,活動結束時間,活動類別,集會處所或遊行路線,主管機關
2016/11/15 09:00,2016/11/15 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/15 09:00,2016/11/15 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/15 08:50,2016/11/15 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/15 08:00,2016/11/15 22:00,室外集會,臺北市中山區八德路2段232號,臺北市政府警察局中山分局
2016/11/15 08:00,2016/11/15 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/15 08:00,2016/11/15 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道之沿邊,臺北市政府警察局士林分局
2016/11/15 07:00,2016/11/15 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/14 14:00,2016/11/14 18:00,遊行,屏東縣屏東市屏東火車站,屏東縣政府警察局屏東分局
2016/11/14 09:00,2016/11/14 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/14 09:00,2016/11/14 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/14 08:00,2016/11/14 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/14 08:00,2016/11/14 17:05,室外集會,臺北市士林區至善路2段故宮博物院前U型車道之沿邊,臺北市政府警察局士林分局
2016/11/14 07:00,2016/11/14 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/14 07:00,2016/11/14 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/13 15:00,2016/11/13 18:00,遊行,屏東縣恆春鎮墾丁牌樓至凱撒飯店前,屏東縣政府警察局恆春分局
2016/11/13 10:00,2016/11/13 22:00,室外集會,臺北市萬華區捷運西門站6號出口後方人行道,臺北市政府警察局萬華分局
2016/11/13 09:00,2016/11/13 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道（需避開立法院及濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/13 09:00,2016/11/13 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/13 08:00,2016/11/13 12:00,遊行,屏東縣潮州鎮地區(祥如路線圖),屏東縣政府警察局潮州分局
2016/11/13 08:00,2016/11/13 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/13 08:00,2016/11/13 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道之沿邊,臺北市政府警察局士林分局
2016/11/13 07:00,2016/11/13 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/13 07:00,2016/11/13 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/13 00:00,2016/11/13 23:59,室外集會,臺北市中正區凱達格蘭大道【公園路（不含）至中山南路（不含）】北側人行道暨緊鄰5線車道及公園路【忠孝西路1段（不含）至凱達格蘭大道（不含）】東側人行道暨緊鄰2線車道,臺北市政府警察局中正第一分局
2016/11/12 18:00,2016/11/12 22:00,室外集會,臺南市後壁區長安里42號(福安寺前廣場),臺南市政府警察局白河分局
2016/11/12 15:00,2016/11/12 18:00,遊行,高雄市前金區民生路與中山路(西南角),高雄市政府警察局新興分局
2016/11/12 10:00,2016/11/12 22:00,室外集會,臺北市萬華區/捷運西門站1號出口人行道『北起成都路南側沿線花圃(不含)，東至中華路西側紅磚人行道雕像（不含），南沿西門商業大樓北側騎樓（不含），西迄漢中街東側紅磚人行道(不含)』。(請預留足夠空間供公眾通行),臺北市政府警察局萬華分局
2016/11/12 09:00,2016/11/12 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
